Employee ID,Employee Name,Project Number,Project Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Full Year
EMP0011,Andre Williams,P00002,Reliability,70,40,80,,,,,,,,,,190
EMP0011,Andre Williams,P00017,Meetings,30,30,30,,,,,,,,,,90
EMP0011,Andre Williams,P00015,Paid Time Off,0,20,0,,,,,,,,,,20
EMP0012,Megan Kowalski,P00001,Billing Refunds,70,80,70,,,,,,,,,,220
EMP0012,Megan Kowalski,P00008,Customer Billing Features,70,80,90,,,,,,,,,,240
EMP0012,Megan Kowalski,P00015,Paid Time Off,20,0,0,,,,,,,,,,20
EMP0013,Derek Sullivan,P00005,Spectrum News Application Features,90,80,90,,,,,,,,,,260
EMP0013,Derek Sullivan,P00011,Sports Net - New Application Build,70,80,70,,,,,,,,,,220
EMP0013,Derek Sullivan,P00015,Paid Time Off,0,0,0,,,,,,,,,,0
EMP0014,Priya Sharma,P00003,New Mobile Features,60,70,60,,,,,,,,,,190
EMP0014,Priya Sharma,P00009,3rd Party Application Integration,40,30,40,,,,,,,,,,110
EMP0014,Priya Sharma,P00016,App/System Maintenance,60,60,60,,,,,,,,,,180
EMP0014,Priya Sharma,P00015,Paid Time Off,0,0,0,,,,,,,,,,0
EMP0015,Nathan Cross,P00004,Buyflow Enhancements,60,50,60,,,,,,,,,,170
EMP0015,Nathan Cross,P00013,Customer Journey Integration,80,90,80,,,,,,,,,,250
EMP0015,Nathan Cross,P00017,Meetings,20,20,20,,,,,,,,,,60
EMP0015,Nathan Cross,P00015,Paid Time Off,0,0,0,,,,,,,,,,0
EMP0016,Vanessa Duarte,P00012,Customer Two Factor Authorization,80,70,80,,,,,,,,,,230
EMP0016,Vanessa Duarte,P00006,AI Chatbot Integration,40,50,40,,,,,,,,,,130
EMP0016,Vanessa Duarte,P00018,Support,20,20,20,,,,,,,,,,60
EMP0016,Vanessa Duarte,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0017,Kyle Brighton,P00002,Reliability,80,80,80,,,,,,,,,,240
EMP0017,Kyle Brighton,P00019,Bug & Defect Fixes,60,60,60,,,,,,,,,,180
EMP0017,Kyle Brighton,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0018,Samantha Novak,P00003,New Mobile Features,70,60,70,,,,,,,,,,200
EMP0018,Samantha Novak,P00004,Buyflow Enhancements,50,60,50,,,,,,,,,,160
EMP0018,Samantha Novak,P00017,Meetings,20,20,20,,,,,,,,,,60
EMP0018,Samantha Novak,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0019,Ryan Fitzgerald,P00008,Customer Billing Features,80,90,80,,,,,,,,,,250
EMP0019,Ryan Fitzgerald,P00016,App/System Maintenance,60,50,60,,,,,,,,,,170
EMP0019,Ryan Fitzgerald,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0020,Tanya Osei,P00001,Billing Refunds,40,50,40,,,,,,,,,,130
EMP0020,Tanya Osei,P00013,Customer Journey Integration,60,50,60,,,,,,,,,,170
EMP0020,Tanya Osei,P00017,Meetings,40,40,40,,,,,,,,,,120
EMP0020,Tanya Osei,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0021,Chris Halverson,P00011,Sports Net - New Application Build,80,70,80,,,,,,,,,,230
EMP0021,Chris Halverson,P00005,Spectrum News Application Features,40,50,40,,,,,,,,,,130
EMP0021,Chris Halverson,P00017,Meetings,20,20,20,,,,,,,,,,60
EMP0021,Chris Halverson,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0022,Danielle Tremblay,P00020,Other,60,50,60,,,,,,,,,,170
EMP0022,Danielle Tremblay,P00018,Support,40,50,40,,,,,,,,,,130
EMP0022,Danielle Tremblay,P00017,Meetings,40,40,40,,,,,,,,,,120
EMP0022,Danielle Tremblay,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0023,Liam Patel,P00006,AI Chatbot Integration,60,70,60,,,,,,,,,,190
EMP0023,Liam Patel,P00007,AI Chatbot Implementation,60,50,60,,,,,,,,,,170
EMP0023,Liam Patel,P00018,Support,20,20,20,,,,,,,,,,60
EMP0023,Liam Patel,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0024,Aisha Rodgers,P00009,3rd Party Application Integration,80,80,80,,,,,,,,,,240
EMP0024,Aisha Rodgers,P00016,App/System Maintenance,40,40,40,,,,,,,,,,120
EMP0024,Aisha Rodgers,P00017,Meetings,20,20,20,,,,,,,,,,60
EMP0024,Aisha Rodgers,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0025,Jason Mercer,P00010,WiFi Connectivity Experiences,70,60,70,,,,,,,,,,200
EMP0025,Jason Mercer,P00002,Reliability,50,60,50,,,,,,,,,,160
EMP0025,Jason Mercer,P00019,Bug & Defect Fixes,20,20,20,,,,,,,,,,60
EMP0025,Jason Mercer,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0026,Rebecca Stanton,P00014,CPE Enhancements & Testing,100,90,100,,,,,,,,,,290
EMP0026,Rebecca Stanton,P00016,App/System Maintenance,40,70,60,,,,,,,,,,170
EMP0026,Rebecca Stanton,P00015,Paid Time Off,20,0,0,,,,,,,,,,20
EMP0027,Vincent Tao,P00005,Spectrum News Application Features,60,70,60,,,,,,,,,,190
EMP0027,Vincent Tao,P00011,Sports Net - New Application Build,60,70,80,,,,,,,,,,210
EMP0027,Vincent Tao,P00017,Meetings,20,20,20,,,,,,,,,,60
EMP0027,Vincent Tao,P00015,Paid Time Off,20,0,0,,,,,,,,,,20
EMP0028,Laura Krishnan,P00001,Billing Refunds,80,70,80,,,,,,,,,,230
EMP0028,Laura Krishnan,P00019,Bug & Defect Fixes,60,70,60,,,,,,,,,,190
EMP0028,Laura Krishnan,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0029,Paul Engstrom,P00012,Customer Two Factor Authorization,80,90,80,,,,,,,,,,250
EMP0029,Paul Engstrom,P00014,CPE Enhancements & Testing,60,50,60,,,,,,,,,,170
EMP0029,Paul Engstrom,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
EMP0030,Monica Alvarez,P00007,AI Chatbot Implementation,50,60,50,,,,,,,,,,160
EMP0030,Monica Alvarez,P00013,Customer Journey Integration,50,40,50,,,,,,,,,,140
EMP0030,Monica Alvarez,P00018,Support,40,40,40,,,,,,,,,,120
EMP0030,Monica Alvarez,P00015,Paid Time Off,20,20,20,,,,,,,,,,60
